serial_number,device_id,x,y
00F5,U00F5,1120,450
00F6,U00F6,1120,430
00F7,U00F7,1050,520
00F8,U00F8,530,360
00F1,U00F1,1080,580
00F2,U00F2,1220,540
00F3,U00F3,1060,430
00F4,U00F4,1060,390
00F9,U00F9,650,470
00FE,U00FE,590,470
00FF,U00FF,710,470
00FA,U00FA,680,470
00FB,U00FB,580,540
00FC,U00FC,1050,580
00FD,U00FD,1050,600
00D3,U00D3,510,460
00D4,U00D4,480,470
00D5,U00D5,620,470
00D6,U00D6,1050,490
00D0,U00D0,530,470
00D1,U00D1,390,470
00D2,U00D2,350,470
00D7,U00D7,1050,660
00D8,U00D8,910,240
00D9,U00D9,970,220
00DC,U00DC,970,240
00DD,U00DD,800,590
00DE,U00DE,900,430
0CDF,U0CDF,850,590
00DA,U00DA,970,260
00DB,U00DB,970,370
0.00E+00,U00E4,820,590
0.00E+00,U00E5,960,310
0.00E+00,U00E6,960,390
0.00E+00,U00E7,1140,580
0.00E+00,U00E0,970,280
0.00E+00,U00E1,960,350
0.00E+00,U00E2,960,330
0CE3,U0CE3,770,680
0.00E+00,U00E8,1100,580
0.00E+00,U00E9,1120,490
00ED,U00ED,1060,330
00EE,U00EE,1120,410
00EF,U00EF,1060,490
00EA,U00EA,580,560
00EB,U00EB,1190,580
00EC,U00EC,1060,370
00F0,U00F0,1120,470
02F3,U02F3,0,1146
00B1,U00B1,1360,240
02F4,U02F4,0,1146
00B2,U00B2,1170,240
02F5,U02F5,0,1146
00B3,U00B3,910,410
02F6,U02F6,0,1146
00B4,U00B4,870,680
02F0,U02F0,0,1146
02F1,U02F1,0,1146
02F2,U02F2,0,1146
00B0,U00B0,1190,240
00B9,U00B9,960,430
02F7,U02F7,0,1146
00B5,U00B5,1110,240
02F8,U02F8,0,1146
00B6,U00B6,1250,240
02F9,U02F9,0,1146
00B7,U00B7,850,680
00B8,U00B8,850,140
02FC,U02FC,0,1146
00BA,U00BA,800,290
02FD,U02FD,0,1146
00BB,U00BB,910,390
02FE,U02FE,0,1146
00BC,U00BC,820,680
02FF,U02FF,0,1146
00BD,U00BD,710,680
02FA,U02FA,0,1146
02FB,U02FB,0,1146
00BE,U00BE,910,350
00BF,U00BF,910,300
00C2,U00C2,960,410
00C3,U00C3,910,330
00C4,U00C4,580,580
00C5,U00C5,440,470
00C0,U00C0,910,280
00C1,U00C1,910,370
00C6,U00C6,570,620
00C7,U00C7,570,470
00C8,U00C8,590,360
00C9,U00C9,740,360
00CB,U00CB,580,600
00CC,U00CC,570,360
00CD,U00CD,740,470
00CE,U00CE,410,470
00CA,U00CA,580,640
00CF,U00CF,500,470
011A,U011A,1000,530
011B,U011B,780,400
011C,U011C,840,370
011D,U011D,540,780
011E,U011E,750,800
011F,U011F,680,750
120,U0120,630,950
121,U0121,740,450
122,U0122,680,870
123,U0123,840,450
128,U0128,1070,460
129,U0129,1060,450
124,U0124,750,690
125,U0125,720,230
126,U0126,1070,530
127,U0127,890,460
012A,U012A,1060,350
012B,U012B,1060,470
012C,U012C,1060,410
012D,U012D,710,300
012E,U012E,360,360
012F,U012F,1140,680
131,U0131,720,140
132,U0132,980,430
133,U0133,930,430
134,U0134,790,430
130,U0130,940,510
139,U0139,840,360
135,U0135,750,810
136,U0136,640,840
137,U0137,870,430
138,U0138,770,430
100,U0100,570,520
101,U0101,650,360
106,U0106,710,360
107,U0107,680,360
108,U0108,1050,710
109,U0109,1050,740
102,U0102,620,360
103,U0103,1050,630
104,U0104,1050,680
105,U0105,1050,550
010A,U010A,750,730
0C0F,U0C0F,950,460
010B,U010B,710,230
010C,U010C,910,460
010D,U010D,740,420
010E,U010E,480,750
110,U0110,740,320
111,U0111,750,780
112,U0112,480,660
117,U0117,840,400
118,U0118,990,530
119,U0119,1020,530
113,U0113,680,770
114,U0114,680,840
115,U0115,680,830
116,U0116,1050,530
319,U0319,1380,270
031E,U031E,740,650
031F,U031F,680,650
031A,U031A,1410,270
031B,U031B,710,710
031C,U031C,560,540
031D,U031D,620,540
320,U0320,1320,270
321,U0321,440,830
326,U0326,1040,450
327,U0327,1280,160
328,U0328,1220,340
329,U0329,650,770
322,U0322,620,300
323,U0323,1130,380
324,U0324,560,300
325,U0325,1250,160
032A,U032A,1380,340
032F,U032F,1040,380
032B,U032B,1250,270
032C,U032C,1160,450
032D,U032D,1350,160
032E,U032E,420,830
330,U0330,530,650
331,U0331,1100,380
332,U0332,980,390
333,U0333,1320,160
334,U0334,390,830
304,U0304,0,1146
305,U0305,0,1146
